Node,Depth,Value
A9,4,25
B4,3,20
A10,4,25
B4,3,20
A11,4,25
B4,3,20
B7,3,20
B5,3,Infinity
A2,4,20
B5,3,20
A3,4,25
B5,3,20
A4,4,25
B5,3,20
A5,4,25
B5,3,20
A6,4,25
B5,3,20
A7,4,25
B5,3,20
A8,4,25
B5,3,20
A9,4,25
B5,3,20
A10,4,25
B5,3,20
A11,4,25
B5,3,20
B7,3,20
B6,3,Infinity
A2,4,20
B6,3,20
A3,4,25
B6,3,20
A4,4,25
B6,3,20
A5,4,25
B6,3,20
A6,4,25
B6,3,20
A7,4,25
B6,3,20
A8,4,25
B6,3,20
A9,4,25
B6,3,20
A10,4,25
B6,3,20
A11,4,25
B6,3,20
B7,3,20
B8,3,Infinity
A2,4,20
B8,3,20
A3,4,25
B8,3,20
A4,4,25
B8,3,20
A5,4,25
B8,3,20
A6,4,25
B8,3,20
A7,4,25
B8,3,20
A8,4,25
B8,3,20
A9,4,25
B8,3,20
A10,4,25
B8,3,20
A11,4,25
B8,3,20
B7,3,20
B9,3,Infinity
A2,4,20
B9,3,20
A3,4,25
B9,3,20
A4,4,25
B9,3,20
A5,4,25
B9,3,20
A6,4,25
B9,3,20
A7,4,25
B9,3,20
A8,4,25
B9,3,20
A9,4,25
B9,3,20
A10,4,25
B9,3,20
A11,4,25
B9,3,20
B7,3,20
B10,3,Infinity
A2,4,20
B10,3,20
A3,4,25
B10,3,20
A4,4,25
B10,3,20
A5,4,25
B10,3,20
A6,4,25
B10,3,20
A7,4,25
B10,3,20
A8,4,25
B10,3,20
A9,4,25
B10,3,20
A10,4,25
B10,3,20
A11,4,25
B10,3,20
B7,3,20
B11,3,Infinity
A2,4,20
B11,3,20
A3,4,25
B11,3,20
A4,4,25
B11,3,20
A5,4,25
B11,3,20
A6,4,25
B11,3,20
A7,4,25
B11,3,20
A8,4,25
B11,3,20
A9,4,25
B11,3,20
A10,4,25
B11,3,20
A11,4,25
B11,3,20
B7,3,20
B7,3,20
B8,3,Infinity
A2,4,19
B8,3,19
A3,4,24
B8,3,19
A4,4,24
B8,3,19
A5,4,24
B8,3,19
A6,4,24
B8,3,19
A7,4,24
B8,3,19
A8,4,24
B8,3,19
A9,4,24
B8,3,19
A10,4,24
B8,3,19
A11,4,24
B8,3,19
B7,3,20
B9,3,Infinity
A2,4,19
B9,3,19
A3,4,24
B9,3,19
A4,4,24
B9,3,19
A5,4,24
B9,3,19
A6,4,24
B9,3,19
A7,4,24
B9,3,19
A8,4,24
B9,3,19
A9,4,24
B9,3,19
A10,4,24
B9,3,19
A11,4,24
B9,3,19
B7,3,20
B10,3,Infinity
A2,4,19
B10,3,19
A3,4,24
B10,3,19
A4,4,24
B10,3,19
A5,4,24
B10,3,19
A6,4,24
B10,3,19
A7,4,24
B10,3,19
A8,4,24
B10,3,19
A9,4,24
B10,3,19
A10,4,24
B10,3,19
A11,4,24
B10,3,19
B7,3,20
B11,3,Infinity
A2,4,19
B11,3,19
A3,4,24
B11,3,19
A4,4,24
B11,3,19
A5,4,24
B11,3,19
A6,4,24
B11,3,19
A7,4,24
B11,3,19
A8,4,24
B11,3,19
A9,4,24
B11,3,19
A10,4,24
B11,3,19
A11,4,24
B11,3,19
B7,3,20
A2,2,20
B8,3,Infinity
A2,4,13
B8,3,13
A3,4,18
B8,3,13
A4,4,18
B8,3,13
A5,4,18
B8,3,13
A6,4,18
B8,3,13
A7,4,18
B8,3,13
A8,4,18
B8,3,13
A9,4,18
B8,3,13
A10,4,Infinity
A2,4,17
A10,4,17
A3,4,22
A10,4,17
A4,4,22
A10,4,17
A5,4,22
A10,4,17
A6,4,22
A10,4,17
A7,4,22
A10,4,17
A8,4,22
A10,4,17
A9,4,22
A10,4,17
A10,4,18
A10,4,17
A11,4,22
A10,4,17
B8,3,13
A11,4,Infinity
A2,4,17
A11,4,17
A3,4,22
A11,4,17
A4,4,22
A11,4,17
A5,4,22
A11,4,17
A6,4,22
A11,4,17
A7,4,22
A11,4,17
A8,4,22
A11,4,17
A9,4,22
A11,4,17
A10,4,22
A11,4,17
A11,4,18
A11,4,17
B8,3,13
A2,2,20
B9,3,Infinity
A2,4,13
B9,3,13
A3,4,18
B9,3,13
A4,4,18
B9,3,13
A5,4,18
B9,3,13
A6,4,18
B9,3,13
A7,4,18
B9,3,13
A8,4,18
B9,3,13
A9,4,18
B9,3,13
A10,4,18
B9,3,13
A11,4,Infinity
A2,4,17
A11,4,17
A3,4,22
A11,4,17
A4,4,22
A11,4,17
A5,4,22
A11,4,17
A6,4,22
A11,4,17
A7,4,22
A11,4,17
A8,4,22
A11,4,17
A9,4,22
A11,4,17
A10,4,22
A11,4,17
A11,4,18
A11,4,17
B9,3,13
A2,2,20
B10,3,Infinity
A2,4,13
B10,3,13
A3,4,18
B10,3,13
A4,4,18
B10,3,13
A5,4,18
B10,3,13
A6,4,18
B10,3,13
A7,4,18
B10,3,13
A8,4,18
B10,3,13
A9,4,18
B10,3,13
A10,4,18
B10,3,13
A11,4,Infinity
A2,4,17
A11,4,17
A3,4,22
A11,4,17
A4,4,22
A11,4,17
A5,4,22
A11,4,17
A6,4,22
A11,4,17
A7,4,22
A11,4,17
A8,4,22
A11,4,17
A9,4,22
A11,4,17
A10,4,22
A11,4,17
A11,4,18
A11,4,17
B10,3,13
A2,2,20
B11,3,Infinity
A2,4,13
B11,3,13
A3,4,18
B11,3,13
A4,4,18
B11,3,13
A5,4,18
