Node,Depth,Value
A6,4,16
B4,3,16
A7,4,21
B4,3,16
A8,4,21
B4,3,16
A9,4,21
B4,3,16
A10,4,21
B4,3,16
A11,4,21
B4,3,16
B7,3,29
B5,3,Infinity
A2,4,26
B5,3,26
A3,4,26
B5,3,26
A4,4,26
B5,3,26
A5,4,26
B5,3,26
A6,4,21
B5,3,21
A7,4,26
B5,3,21
A8,4,26
B5,3,21
A9,4,26
B5,3,21
A10,4,26
B5,3,21
A11,4,26
B5,3,21
B7,3,29
B6,3,Infinity
A2,4,26
B6,3,26
A3,4,26
B6,3,26
A4,4,26
B6,3,26
A5,4,26
B6,3,26
A6,4,21
B6,3,21
A7,4,26
B6,3,21
A8,4,26
B6,3,21
A9,4,26
B6,3,21
A10,4,26
B6,3,21
A11,4,26
B6,3,21
B7,3,29
B7,3,-Infinity
B2,3,Infinity
A2,4,26
B2,3,26
A3,4,26
B2,3,26
A4,4,26
B2,3,26
A5,4,26
B2,3,26
A6,4,21
B2,3,21
A7,4,26
B2,3,21
A8,4,26
B2,3,21
A9,4,26
B2,3,21
A10,4,26
B2,3,21
A11,4,26
B2,3,21
B7,3,21
B3,3,-Infinity
B2,3,Infinity
A2,4,33
B2,3,33
A3,4,33
B2,3,33
A4,4,33
B2,3,33
A5,4,33
B2,3,33
A6,4,28
B2,3,28
A7,4,33
B2,3,28
A8,4,35
B2,3,28
A9,4,35
B2,3,28
A10,4,35
B2,3,28
A11,4,35
B2,3,28
B3,3,28
B3,3,Infinity
A2,4,27
B3,3,27
A3,4,27
B3,3,27
A4,4,27
B3,3,27
A5,4,27
B3,3,27
A6,4,22
B3,3,22
A7,4,27
B3,3,22
A8,4,27
B3,3,22
A9,4,27
B3,3,22
A10,4,27
B3,3,22
A11,4,27
B3,3,22
B3,3,28
B4,3,Infinity
A2,4,28
B4,3,28
A3,4,28
B4,3,28
A4,4,28
B4,3,28
A5,4,28
B4,3,28
A6,4,23
B4,3,23
A7,4,28
B4,3,23
A8,4,28
B4,3,23
A9,4,28
B4,3,23
A10,4,28
B4,3,23
A11,4,28
B4,3,23
B3,3,28
B5,3,Infinity
A2,4,33
B5,3,33
A3,4,33
B5,3,33
A4,4,35
B5,3,33
A5,4,35
B5,3,33
A6,4,30
B5,3,30
A7,4,35
B5,3,30
A8,4,35
B5,3,30
A9,4,35
B5,3,30
A10,4,35
B5,3,30
A11,4,35
B5,3,30
B3,3,30
B6,3,Infinity
A2,4,33
B6,3,33
A3,4,33
B6,3,33
A4,4,35
B6,3,33
A5,4,35
B6,3,33
A6,4,30
B6,3,30
A7,4,35
B6,3,30
A8,4,35
B6,3,30
A9,4,35
B6,3,30
A10,4,35
B6,3,30
A11,4,35
B6,3,30
B3,3,30
B7,3,Infinity
A2,4,28
B7,3,28
A3,4,28
B7,3,28
A4,4,28
B7,3,28
A5,4,28
B7,3,28
A6,4,23
B7,3,23
A7,4,28
B7,3,23
A8,4,28
B7,3,23
A9,4,28
B7,3,23
A10,4,28
B7,3,23
A11,4,28
B7,3,23
B3,3,30
B8,3,Infinity
A2,4,33
B8,3,33
A3,4,33
B8,3,33
A4,4,35
B8,3,33
A5,4,35
B8,3,33
A6,4,30
B8,3,30
A7,4,35
B8,3,30
A8,4,35
B8,3,30
A9,4,35
B8,3,30
A10,4,35
B8,3,30
A11,4,35
B8,3,30
B3,3,30
B9,3,Infinity
A2,4,33
B9,3,33
A3,4,33
B9,3,33
A4,4,35
B9,3,33
A5,4,35
B9,3,33
A6,4,30
B9,3,30
A7,4,35
B9,3,30
A8,4,35
B9,3,30
A9,4,35
B9,3,30
A10,4,35
B9,3,30
A11,4,35
B9,3,30
B3,3,30
B10,3,Infinity
A2,4,33
B10,3,33
A3,4,33
B10,3,33
A4,4,35
B10,3,33
A5,4,35
B10,3,33
A6,4,30
B10,3,30
A7,4,35
B10,3,30
A8,4,35
B10,3,30
A9,4,35
B10,3,30
A10,4,35
B10,3,30
A11,4,35
B10,3,30
B3,3,30
B11,3,Infinity
A2,4,33
B11,3,33
A3,4,33
B11,3,33
A4,4,35
B11,3,33
A5,4,35
B11,3,33
A6,4,30
B11,3,30
A7,4,35
B11,3,30
A8,4,35
B11,3,30
A9,4,35
B11,3,30
A10,4,35
B11,3,30
A11,4,35
B11,3,30
B3,3,30
B7,3,30
B4,3,Infinity
A2,4,22
B4,3,22
A3,4,22
B4,3,22
A4,4,22
B4,3,22
A5,4,22
B4,3,22
A6,4,17
B4,3,17
A7,4,22
B4,3,17
A8,4,22
B4,3,17
A9,4,22
B4,3,17
A10,4,22
B4,3,17
A11,4,22
B4,3,17
B7,3,30
B5,3,Infinity
A2,4,27
B5,3,27
A3,4,27
B5,3,27
A4,4,27
B5,3,27
A5,4,27
B5,3,27
A6,4,22
B5,3,22
A7,4,27
B5,3,22
A8,4,27
B5,3,22
A9,4,27
B5,3,22
A10,4,27
B5,3,22
A11,4,27
B5,3,22
B7,3,30
B6,3,Infinity
A2,4,27
B6,3,27
A3,4,27
B6,3,27
A4,4,27
B6,3,27
A5,4,27
B6,3,27
A6,4,22
B6,3,22
A7,4,27
B6,3,22
A8,4,27
B6,3,22
A9,4,27
B6,3,22
A10,4,27
B6,3,22
A11,4,27
B6,3,22
B7,3,30
B8,3,Infinity
A2,4,27
B8,3,27
A3,4,27
B8,3,27
A4,4,27
B8,3,27
A5,4,27
B8,3,27
A6,4,22
B8,3,22
A7,4,27
B8,3,22
A8,4,27
B8,3,22
A9,4,27
B8,3,22
A10,4,27
B8,3,22
A11,4,27
B8,3,22
B7,3,30
B9,3,Infinity
A2,4,27
B9,3,27
A3,4,27
B9,3,27
A4,4,27
B9,3,27
A5,4,27
B9,3,27
A6,4,22
B9,3,22
A7,4,27
B9,3,22
A8,4,27
B9,3,22
A9,4,27
B9,3,22
A10,4,27
B9,3,22
A11,4,27
B9,3,22
B7,3,30
B10,3,Infinity
A2,4,27
B10,3,27
A3,4,27
B10,3,27
A4,4,27
B10,3,27
A5,4,27
B10,3,27
A6,4,22
B10,3,22
A7,4,27
B10,3,22
A8,4,27
B10,3,22
A9,4,27
B10,3,22
A10,4,27
B10,3,22
A11,4,27
B10,3,22
B7,3,30
B11,3,Infinity
A2,4,27
B11,3,27
A3,4,27
B11,3,27
A4,4,27
B11,3,27
A5,4,27
B11,3,27
A6,4,22
B11,3,22
A7,4,27
B11,3,22
A8,4,27
B11,3,22
A9,4,27
B11,3,22
A10,4,27
B11,3,22
A11,4,27
B11,3,22
B7,3,30
B7,3,30
B8,3,Infinity
A2,4,26
B8,3,26
A3,4,26
B8,3,26
A4,4,26
B8,3,26
A5,4,26
B8,3,26
A6,4,21
B8,3,21
A7,4,26
B8,3,21
A8,4,26
B8,3,21
A9,4,26
B8,3,21
A10,4,26
B8,3,21
A11,4,26
B8,3,21
B7,3,30
B9,3,Infinity
A2,4,26
B9,3,26
A3,4,26
B9,3,26
A4,4,26
B9,3,26
A5,4,26
B9,3,26
A6,4,21
B9,3,21
A7,4,26
B9,3,21
A8,4,26
B9,3,21
A9,4,26
B9,3,21
A10,4,26
B9,3,21
A11,4,26
B9,3,21
B7,3,30
B10,3,Infinity
A2,4,26
B10,3,26
A3,4,26
B10,3,26
A4,4,26
B10,3,26
A5,4,26
B10,3,26
A6,4,21
B10,3,21
A7,4,26
B10,3,21
A8,4,26
B10,3,21
A9,4,26
B10,3,21
A10,4,26
B10,3,21
A11,4,26
B10,3,21
B7,3,30
B11,3,Infinity
A2,4,26
B11,3,26
A3,4,26
B11,3,26
A4,4,26
B11,3,26
A5,4,26
B11,3,26
A6,4,21
B11,3,21
A7,4,26
B11,3,21
A8,4,26
B11,3,21
A9,4,26
B11,3,21
A10,4,26
B11,3,21
A11,4,26
B11,3,21
B7,3,30
A6,2,30
B8,3,Infinity
A2,4,20
B8,3,20
A3,4,20
B8,3,20
A4,4,20
B8,3,20
A5,4,20
B8,3,20
A6,4,15
B8,3,15
A7,4,20
B8,3,15
A8,4,20
B8,3,15
A9,4,20
B8,3,15
A10,4,20
B8,3,15
A11,4,20
B8,3,15
A6,2,30
B9,3,Infinity
A2,4,20
B9,3,20
A3,4,20
B9,3,20
A4,4,20
B9,3,20
A5,4,20
B9,3,20
A6,4,15
B9,3,15
A7,4,20
B9,3,15
A8,4,20
B9,3,15
A9,4,20
B9,3,15
A10,4,20
B9,3,15
A11,4,20
B9,3,15
A6,2,30
B10,3,Infinity
A2,4,20
B10,3,20
A3,4,20
B10,3,20
A4,4,20
B10,3,20
A5,4,20
B10,3,20
A6,4,15
B10,3,15
A7,4,20
B10,3,15
A8,4,20
B10,3,15
A9,4,20
B10,3,15
A10,4,20
B10,3,15
A11,4,20
B10,3,15
A6,2,30
B11,3,Infinity
A2,4,20
B11,3,20
A3,4,20
B11,3,20
A4,4,20
B11,3,20
A5,4,20
B11,3,20
A6,4,15
B11,3,15
A7,4,20
B11,3,15
A8,4,20
B11,3,15
A9,4,20
B11,3,15
A10,4,20
B11,3,15
A11,4,20
B11,3,15
A6,2,30
B4,1,26
A7,2,-Infinity
B2,3,Infinity
A2,4,19
B2,3,19
A3,4,19
B2,3,19
A4,4,19
B2,3,19
A5,4,19
B2,3,19
A6,4,19
B2,3,19
A7,4,14
B2,3,14
A8,4,19
B2,3,14
A9,4,19
B2,3,14
A10,4,19
B2,3,14
A11,4,Infinity
A2,4,23
A11,4,23
A3,4,23
A11,4,23
A4,4,23
A11,4,23
A5,4,23
A11,4,23
A6,4,23
A11,4,23
A7,4,18
A11,4,18
A8,4,23
A11,4,18
A9,4,23
A11,4,18
A10,4,23
A11,4,18
A11,4,19
A11,4,18
B2,3,14
A7,2,14
B3,3,Infinity
A2,4,19
B3,3,19
A3,4,19
B3,3,19
A4,4,19
B3,3,19
A5,4,19
B3,3,19
A6,4,19
B3,3,19
A7,4,14
B3,3,14
A8,4,19
B3,3,14
A9,4,19
B3,3,14
A10,4,19
B3,3,14
A11,4,Infinity
A2,4,23
A11,4,23
A3,4,23
A11,4,23
A4,4,23
A11,4,23
A5,4,23
A11,4,23
A6,4,23
A11,4,23
A7,4,18
A11,4,18
A8,4,23
A11,4,18
A9,4,23
A11,4,18
A10,4,23
A11,4,18
A11,4,19
A11,4,18
B3,3,14
A7,2,14
B4,3,Infinity
A2,4,15
B4,3,15
A3,4,15
B4,3,15
A4,4,15
B4,3,15
A5,4,15
B4,3,15
A6,4,Infinity
A2,4,19
A6,4,19
A3,4,19
A6,4,19
A4,4,19
A6,4,19
A5,4,19
A6,4,19
A6,4,Infinity
A2,4,18
A6,4,18
A3,4,18
A6,4,18
A4,4,18
A6,4,18
A5,4,18
A6,4,18
A7,4,13
A6,4,13
A8,4,18
A6,4,13
A9,4,18
A6,4,13
A10,4,18
A6,4,13
A11,4,18
A6,4,13
A6,4,13
A7,4,14
A6,4,13
A8,4,19
A6,4,13
A9,4,19
A6,4,13
A10,4,19
A6,4,13
A11,4,19
A6,4,13
B4,3,13
A7,4,11
B4,3,11
A8,4,16
B4,3,11
A9,4,16
B4,3,11
A10,4,16
B4,3,11
A11,4,16
B4,3,11
A7,2,14
B5,3,Infinity
A2,4,19
B5,3,19
A3,4,19
B5,3,19
A4,4,19
B5,3,19
A5,4,19
B5,3,19
A6,4,19
B5,3,19
A7,4,14
B5,3,14
A8,4,19
B5,3,14
A9,4,19
B5,3,14
A10,4,19
B5,3,14
A11,4,Infinity
A2,4,23
A11,4,23
A3,4,23
A11,4,23
A4,4,23
A11,4,23
A5,4,23
A11,4,23
A6,4,23
A11,4,23
A7,4,18
A11,4,18
A8,4,23
A11,4,18
A9,4,23
A11,4,18
A10,4,23
A11,4,18
A11,4,19
A11,4,18
B5,3,14
A7,2,14
B6,3,Infinity
A2,4,19
B6,3,19
A3,4,19
B6,3,19
A4,4,19
B6,3,19
A5,4,19
B6,3,19
A6,4,19
B6,3,19
A7,4,14
B6,3,14
A8,4,19
B6,3,14
A9,4,19
B6,3,14
A10,4,19
B6,3,14
A11,4,Infinity
A2,4,23
A11,4,23
A3,4,23
A11,4,23
A4,4,23
A11,4,23
A5,4,23
A11,4,23
A6,4,23
A11,4,23
A7,4,18
A11,4,18
A8,4,23
A11,4,18
A9,4,23
A11,4,18
A10,4,23
A11,4,18
A11,4,19
A11,4,18
B6,3,14
A7,2,14
B7,3,-Infinity
B2,3,Infinity
A2,4,25
B2,3,25
A3,4,25
B2,3,25
A4,4,25
B2,3,25
A5,4,25
B2,3,25
A6,4,25
B2,3,25
A7,4,20
B2,3,20
A8,4,25
B2,3,20
A9,4,25
B2,3,20
A10,4,25
B2,3,20
A11,4,25
B2,3,20
B7,3,20
B3,3,-Infinity
B2,3,Infinity
A2,4,32
B2,3,32
A3,4,32
B2,3,32
A4,4,32
B2,3,32
A5,4,32
B2,3,32
A6,4,32
B2,3,32
A7,4,27
B2,3,27
A8,4,34
B2,3,27
A9,4,34
B2,3,27
A10,4,34
B2,3,27
A11,4,34
B2,3,27
B3,3,27
B3,3,Infinity
A2,4,26
B3,3,26
A3,4,26
B3,3,26
A4,4,26
B3,3,26
A5,4,26
B3,3,26
A6,4,26
B3,3,26
A7,4,21
B3,3,21
A8,4,26
B3,3,21
A9,4,26
B3,3,21
A10,4,26
B3,3,21
A11,4,26
B3,3,21
B3,3,27
B4,3,Infinity
A2,4,27
B4,3,27
A3,4,27
B4,3,27
A4,4,27
B4,3,27
A5,4,27
B4,3,27
A6,4,27
B4,3,27
A7,4,22
B4,3,22
A8,4,27
B4,3,22
A9,4,27
B4,3,22
A10,4,27
B4,3,22
A11,4,27
B4,3,22
B3,3,27
B5,3,Infinity
A2,4,32
B5,3,32
A3,4,32
B5,3,32
A4,4,34
B5,3,32
A5,4,34
B5,3,32
A6,4,34
B5,3,32
A7,4,29
B5,3,29
A8,4,34
B5,3,29
A9,4,34
B5,3,29
A10,4,34
B5,3,29
A11,4,34
B5,3,29
B3,3,29
B6,3,Infinity
A2,4,32
B6,3,32
A3,4,32
B6,3,32
A4,4,34
B6,3,32
A5,4,34
B6,3,32
A6,4,34
B6,3,32
A7,4,29
B6,3,29
A8,4,34
B6,3,29
A9,4,34
B6,3,29
A10,4,34
B6,3,29
A11,4,34
B6,3,29
B3,3,29
B7,3,Infinity
A2,4,27
B7,3,27
A3,4,27
B7,3,27
A4,4,27
B7,3,27
A5,4,27
B7,3,27
A6,4,27
B7,3,27
A7,4,22
B7,3,22
A8,4,27
B7,3,22
A9,4,27
B7,3,22
A10,4,27
B7,3,22
A11,4,27
B7,3,22
B3,3,29
B8,3,Infinity
A2,4,32
B8,3,32
A3,4,32
B8,3,32
A4,4,34
B8,3,32
A5,4,34
B8,3,32
A6,4,34
B8,3,32
A7,4,29
B8,3,29
A8,4,34
B8,3,29
A9,4,34
B8,3,29
A10,4,34
B8,3,29
A11,4,34
B8,3,29
B3,3,29
B9,3,Infinity
A2,4,32
B9,3,32
A3,4,32
B9,3,32
A4,4,34
B9,3,32
A5,4,34
B9,3,32
A6,4,34
B9,3,32
A7,4,29
B9,3,29
A8,4,34
B9,3,29
A9,4,34
B9,3,29
A10,4,34
B9,3,29
A11,4,34
B9,3,29
B3,3,29
B10,3,Infinity
A2,4,32
B10,3,32
A3,4,32
B10,3,32
A4,4,34
B10,3,32
A5,4,34
B10,3,32
A6,4,34
B10,3,32
A7,4,29
B10,3,29
A8,4,34
B10,3,29
A9,4,34
B10,3,29
A10,4,34
B10,3,29
A11,4,34
B10,3,29
B3,3,29
B11,3,Infinity
A2,4,32
B11,3,32
A3,4,32
B11,3,32
A4,4,34
B11,3,32
A5,4,34
B11,3,32
A6,4,34
B11,3,32
A7,4,29
B11,3,29
A8,4,34
B11,3,29
A9,4,34
B11,3,29
A10,4,34
B11,3,29
A11,4,34
B11,3,29
B3,3,29
B7,3,29
B4,3,Infinity
A2,4,21
B4,3,21
A3,4,21
B4,3,21
A4,4,21
B4,3,21
A5,4,21
B4,3,21
A6,4,21
B4,3,21
A7,4,16
B4,3,16
A8,4,21
B4,3,16
A9,4,21
B4,3,16
A10,4,21
B4,3,16
A11,4,21
B4,3,16
B7,3,29
B5,3,Infinity
A2,4,26
B5,3,26
A3,4,26
B5,3,26
A4,4,26
B5,3,26
A5,4,26
B5,3,26
A6,4,26
B5,3,26
A7,4,21
B5,3,21
A8,4,26
B5,3,21
A9,4,26
B5,3,21
A10,4,26
B5,3,21
A11,4,26
B5,3,21
B7,3,29
B6,3,Infinity
A2,4,26
B6,3,26
A3,4,26
B6,3,26
A4,4,26
B6,3,26
A5,4,26
B6,3,26
A6,4,26
B6,3,26
A7,4,21
B6,3,21
A8,4,26
B6,3,21
A9,4,26
B6,3,21
A10,4,26
B6,3,21
A11,4,26
B6,3,21
B7,3,29
B7,3,-Infinity
B2,3,Infinity
A2,4,26
B2,3,26
A3,4,26
B2,3,26
A4,4,26
B2,3,26
A5,4,26
B2,3,26
A6,4,26
B2,3,26
A7,4,21
B2,3,21
A8,4,26
B2,3,21
A9,4,26
B2,3,21
A10,4,26
B2,3,21
A11,4,26
B2,3,21
B7,3,21
B3,3,-Infinity
B2,3,Infinity
A2,4,33
B2,3,33
A3,4,33
B2,3,33
A4,4,33
B2,3,33
A5,4,33
B2,3,33
A6,4,33
B2,3,33
A7,4,28
B2,3,28
A8,4,35
B2,3,28
A9,4,35
B2,3,28
A10,4,35
B2,3,28
A11,4,35
B2,3,28
B3,3,28
B3,3,Infinity
A2,4,27
B3,3,27
A3,4,27
B3,3,27
A4,4,27
B3,3,27
A5,4,27
B3,3,27
A6,4,27
B3,3,27
A7,4,22
B3,3,22
A8,4,27
B3,3,22
A9,4,27
B3,3,22
A10,4,27
B3,3,22
A11,4,27
B3,3,22
B3,3,28
B4,3,Infinity
A2,4,28
B4,3,28
A3,4,28
B4,3,28
A4,4,28
B4,3,28
A5,4,28
B4,3,28
A6,4,28
B4,3,28
A7,4,23
B4,3,23
A8,4,28
B4,3,23
A9,4,28
B4,3,23
A10,4,28
B4,3,23
A11,4,28
B4,3,23
B3,3,28
B5,3,Infinity
A2,4,33
B5,3,33
A3,4,33
B5,3,33
A4,4,35
B5,3,33
A5,4,35
B5,3,33
A6,4,35
B5,3,33
A7,4,30
B5,3,30
A8,4,35
B5,3,30
A9,4,35
B5,3,30
A10,4,35
B5,3,30
A11,4,35
B5,3,30
B3,3,30
B6,3,Infinity
A2,4,33
B6,3,33
A3,4,33
B6,3,33
A4,4,35
B6,3,33
A5,4,35
B6,3,33
A6,4,35
B6,3,33
A7,4,30
B6,3,30
A8,4,35
B6,3,30
A9,4,35
B6,3,30
A10,4,35
B6,3,30
A11,4,35
B6,3,30
B3,3,30
B7,3,Infinity
A2,4,28
B7,3,28
A3,4,28
B7,3,28
A4,4,28
B7,3,28
A5,4,28
B7,3,28
A6,4,28
B7,3,28
A7,4,23
B7,3,23
A8,4,28
B7,3,23
A9,4,28
B7,3,23
A10,4,28
B7,3,23
A11,4,28
B7,3,23
B3,3,30
B8,3,Infinity
A2,4,33
B8,3,33
A3,4,33
B8,3,33
A4,4,35
B8,3,33
A5,4,35
B8,3,33
A6,4,35
B8,3,33
A7,4,30
B8,3,30
A8,4,35
B8,3,30
A9,4,35
B8,3,30
A10,4,35
B8,3,30
A11,4,35
B8,3,30
B3,3,30
B9,3,Infinity
A2,4,33
B9,3,33
A3,4,33
B9,3,33
A4,4,35
B9,3,33
A5,4,35
B9,3,33
A6,4,35
B9,3,33
A7,4,30
B9,3,30
A8,4,35
B9,3,30
A9,4,35
B9,3,30
A10,4,35
B9,3,30
A11,4,35
B9,3,30
B3,3,30
B10,3,Infinity
A2,4,33
B10,3,33
A3,4,33
B10,3,33
A4,4,35
B10,3,33
A5,4,35
B10,3,33
A6,4,35
B10,3,33
A7,4,30
B10,3,30
A8,4,35
B10,3,30
A9,4,35
B10,3,30
A10,4,35
B10,3,30
A11,4,35
B10,3,30
B3,3,30
B11,3,Infinity
A2,4,33
B11,3,33
A3,4,33
B11,3,33
A4,4,35
B11,3,33
A5,4,35
B11,3,33
A6,4,35
B11,3,33
A7,4,30
B11,3,30
A8,4,35
B11,3,30
A9,4,35
B11,3,30
A10,4,35
B11,3,30
A11,4,35
B11,3,30
B3,3,30
B7,3,30
B4,3,Infinity
A2,4,22
B4,3,22
A3,4,22
B4,3,22
A4,4,22
B4,3,22
A5,4,22
B4,3,22
A6,4,22
B4,3,22
A7,4,17
B4,3,17
A8,4,22
B4,3,17
A9,4,22
B4,3,17
A10,4,22
B4,3,17
A11,4,22
B4,3,17
B7,3,30
B5,3,Infinity
A2,4,27
B5,3,27
A3,4,27
B5,3,27
A4,4,27
B5,3,27
A5,4,27
B5,3,27
A6,4,27
B5,3,27
A7,4,22
B5,3,22
A8,4,27
B5,3,22
A9,4,27
B5,3,22
A10,4,27
B5,3,22
A11,4,27
B5,3,22
B7,3,30
B6,3,Infinity
A2,4,27
B6,3,27
A3,4,27
B6,3,27
A4,4,27
B6,3,27
A5,4,27
B6,3,27
A6,4,27
B6,3,27
A7,4,22
B6,3,22
A8,4,27
B6,3,22
A9,4,27
B6,3,22
A10,4,27
B6,3,22
A11,4,27
B6,3,22
B7,3,30
B8,3,Infinity
A2,4,27
B8,3,27
A3,4,27
B8,3,27
A4,4,27
B8,3,27
A5,4,27
B8,3,27
A6,4,27
B8,3,27
A7,4,22
B8,3,22
A8,4,27
B8,3,22
A9,4,27
B8,3,22
A10,4,27
B8,3,22
A11,4,27
B8,3,22
B7,3,30
B9,3,Infinity
A2,4,27
B9,3,27
A3,4,27
B9,3,27
A4,4,27
B9,3,27
A5,4,27
B9,3,27
A6,4,27
B9,3,27
A7,4,22
B9,3,22
A8,4,27
B9,3,22
A9,4,27
B9,3,22
A10,4,27
B9,3,22
A11,4,27
B9,3,22
B7,3,30
B10,3,Infinity
A2,4,27
B10,3,27
A3,4,27
B10,3,27
A4,4,27
B10,3,27
A5,4,27
B10,3,27
A6,4,27
B10,3,27
A7,4,22
B10,3,22
A8,4,27
B10,3,22
A9,4,27
B10,3,22
A10,4,27
B10,3,22
A11,4,27
B10,3,22
B7,3,30
B11,3,Infinity
A2,4,27
B11,3,27
A3,4,27
B11,3,27
A4,4,27
B11,3,27
A5,4,27
B11,3,27
A6,4,27
B11,3,27
A7,4,22
B11,3,22
A8,4,27
B11,3,22
A9,4,27
B11,3,22
A10,4,27
B11,3,22
A11,4,27
B11,3,22
B7,3,30
B7,3,30
B8,3,Infinity
A2,4,26
B8,3,26
A3,4,26
B8,3,26
A4,4,26
B8,3,26
A5,4,26
B8,3,26
A6,4,26
B8,3,26
A7,4,21
B8,3,21
A8,4,26
B8,3,21
A9,4,26
B8,3,21
A10,4,26
B8,3,21
A11,4,26
B8,3,21
B7,3,30
B9,3,Infinity
A2,4,26
B9,3,26
A3,4,26
B9,3,26
A4,4,26
B9,3,26
A5,4,26
B9,3,26
A6,4,26
B9,3,26
A7,4,21
B9,3,21
A8,4,26
B9,3,21
A9,4,26
B9,3,21
A10,4,26
B9,3,21
A11,4,26
B9,3,21
B7,3,30
B10,3,Infinity
A2,4,26
B10,3,26
A3,4,26
B10,3,26
A4,4,26
B10,3,26
A5,4,26
B10,3,26
A6,4,26
B10,3,26
A7,4,21
B10,3,21
A8,4,26
B10,3,21
A9,4,26
B10,3,21
A10,4,26
B10,3,21
A11,4,26
B10,3,21
B7,3,30
B11,3,Infinity
A2,4,26
B11,3,26
A3,4,26
B11,3,26
A4,4,26
B11,3,26
A5,4,26
B11,3,26
A6,4,26
B11,3,26
A7,4,21
B11,3,21
A8,4,26
B11,3,21
A9,4,26
B11,3,21
A10,4,26
B11,3,21
A11,4,26
B11,3,21
B7,3,30
A7,2,30
B8,3,Infinity
A2,4,20
B8,3,20
A3,4,20
B8,3,20
A4,4,20
B8,3,20
A5,4,20
B8,3,20
A6,4,20
B8,3,20
A7,4,15
B8,3,15
A8,4,20
B8,3,15
A9,4,20
B8,3,15
A10,4,20
B8,3,15
A11,4,20
B8,3,15
A7,2,30
B9,3,Infinity
A2,4,20
B9,3,20
A3,4,20
B9,3,20
A4,4,20
B9,3,20
A5,4,20
B9,3,20
A6,4,20
B9,3,20
A7,4,15
B9,3,15
A8,4,20
B9,3,15
A9,4,20
B9,3,15
A10,4,20
B9,3,15
A11,4,20
B9,3,15
A7,2,30
B10,3,Infinity
A2,4,20
B10,3,20
A3,4,20
B10,3,20
A4,4,20
B10,3,20
A5,4,20
B10,3,20
A6,4,20
B10,3,20
A7,4,15
B10,3,15
A8,4,20
B10,3,15
A9,4,20
B10,3,15
A10,4,20
B10,3,15
A11,4,20
B10,3,15
A7,2,30
B11,3,Infinity
A2,4,20
B11,3,20
A3,4,20
B11,3,20
A4,4,20
B11,3,20
A5,4,20
B11,3,20
A6,4,20
B11,3,20
A7,4,15
B11,3,15
A8,4,20
B11,3,15
A9,4,20
B11,3,15
A10,4,20
B11,3,15
A11,4,20
B11,3,15
A7,2,30
B4,1,26
A8,2,-Infinity
B2,3,Infinity
A2,4,19
B2,3,19
A3,4,19
B2,3,19
A4,4,19
B2,3,19
A5,4,19
B2,3,19
A6,4,19
B2,3,19
A7,4,19
B2,3,19
A8,4,14
B2,3,14
A9,4,19
B2,3,14
A10,4,19
B2,3,14
A11,4,Infinity
A2,4,23
A11,4,23
A3,4,23
A11,4,23
A4,4,23
A11,4,23
A5,4,23
A11,4,23
A6,4,23
A11,4,23
A7,4,23
A11,4,23
A8,4,18
A11,4,18
A9,4,23
A11,4,18
A10,4,23
A11,4,18
A11,4,19
A11,4,18
B2,3,14
A8,2,14
B3,3,Infinity
A2,4,19
B3,3,19
A3,4,19
B3,3,19
A4,4,19
B3,3,19
A5,4,19
B3,3,19
A6,4,19
B3,3,19
A7,4,19
B3,3,19
A8,4,14
B3,3,14
A9,4,19
B3,3,14
A10,4,19
B3,3,14
A11,4,Infinity
A2,4,23
A11,4,23
A3,4,23
A11,4,23
A4,4,23
A11,4,23
A5,4,23
A11,4,23
A6,4,23
A11,4,23
A7,4,23
A11,4,23
A8,4,18
A11,4,18
A9,4,23
A11,4,18
A10,4,23
A11,4,18
A11,4,19
A11,4,18
B3,3,14
A8,2,14
B4,3,Infinity
A2,4,15
B4,3,15
A3,4,15
B4,3,15
A4,4,15
B4,3,15
A5,4,15
B4,3,15
A6,4,Infinity
A2,4,19
A6,4,19
A3,4,19
A6,4,19
A4,4,19
A6,4,19
A5,4,19
A6,4,19
A6,4,Infinity
A2,4,18
A6,4,18
A3,4,18
A6,4,18
A4,4,18
A6,4,18
A5,4,18
A6,4,18
A7,4,18
A6,4,18
A8,4,13
A6,4,13
A9,4,18
A6,4,13
A10,4,18
A6,4,13
A11,4,18
A6,4,13
A6,4,13
A7,4,19
A6,4,13
A8,4,14
A6,4,13
A9,4,19
A6,4,13
A10,4,19
A6,4,13
A11,4,19
A6,4,13
B4,3,13
A7,4,16
B4,3,13
A8,4,11
B4,3,11
A9,4,16
B4,3,11
A10,4,16
B4,3,11
A11,4,16
B4,3,11
A8,2,14
B5,3,Infinity
A2,4,19
B5,3,19
A3,4,19
B5,3,19
A4,4,19
B5,3,19
A5,4,19
B5,3,19
A6,4,19
B5,3,19
A7,4,19
B5,3,19
A8,4,14
B5,3,14
A9,4,19
B5,3,14
A10,4,19
B5,3,14
A11,4,Infinity
A2,4,23
A11,4,23
A3,4,23
A11,4,23
A4,4,23
A11,4,23
A5,4,23
A11,4,23
A6,4,23
A11,4,23
A7,4,23
A11,4,23
A8,4,18
A11,4,18
A9,4,23
A11,4,18
A10,4,23
A11,4,18
A11,4,19
A11,4,18
B5,3,14
A8,2,14
B6,3,Infinity
A2,4,19
B6,3,19
A3,4,19
B6,3,19
A4,4,19
B6,3,19
A5,4,19
B6,3,19
A6,4,19
B6,3,19
A7,4,19
B6,3,19
A8,4,14
B6,3,14
